"country_name","iso_country_code","population","surface_area_km2","gini_index","happy_planet_index","human_development_index","world_happiness_report_score","sustainable_economic_development_assessment_seda","gdp_billions_ppp","gdp_per_capita_ppp","gdp_growth_annual_pct","health_expenditure_pct_of_gdp","health_expenditure_per_person","education_expenditure_pct_of_gdp","education_expenditure_per_person","school_life_expectancy_years","unemployment_pct","government_spending_score","government_expenditure_pct_of_gdp","political_rights_score","civil_liberties_score","political_stability_absence_of_violence","government_effectiveness","regulatory_quality","rule_of_law","control_of_corruption","judicial_effectiveness_score","government_integrity_score","property_rights_score","tax_burden_score","overall_economic_freedom_score","financial_freedom_score","women_mps_pct_of_all_mps"
"Solomon Islands","SLB",6e+05,27986,"-","-","0.54600000000000004","-","-","1.2","1973","3.3","8.0272394499999997","173","-","-","-","31.4","35.6","46.3",3,2,"0.21","-1.01","-0.8","-0.21","0.11","57.3","36.799999999999997","49.4","65.5","57.5","30","2"
"Somalia","SOM",1.5e+07,627337,"-","-","-","-","-","5.9","-","3.7","-","-","-","-","-","6.6","-","-",7,7,"-2.33","-2.21","-2.29","-2.31","-1.72","25.4","17.8","33.1","-","-","-","24.4"
"South Africa","ZAF",5.7e+07,1214470,"62.5","15.9","0.69899999999999995","4.5136551860000003","38.5","739.4","13225","1.3","8.2011545899999998","1086","6.0469398500000002","389.05722746962022","13","25.9","68.099999999999994","32.6",2,2,"-0.27","0.28000000000000003","0.23","-0.01","-0.01","65.900000000000006","45.4","67.7","62.5","63","50","42"
"South Sudan","SSD",1.3e+07,644329,"46","-","0.38800000000000001","2.8166224959999999","-","1686.9","36416","3.2","2.5309594400000002","71","1.712970018","22.431126228731639","-","19.399999999999999","42.8","43.7",7,7,"-2.46","-2.48","-1.94","-1.94","-1.71","62","51.5","73.099999999999994","62","65.099999999999994","70","28.5"
"Spain","ESP",4.7e+07,498980,"35.9","36","0.89100000000000001","6.230173111","71.8","260.60000000000002","12262","5.2","9.1653751900000007","3183","4.2799000740000004","1267.841090212389","18","5","89.3","18.899999999999999",1,1,"0.27","1.03","0.94","1.01","0.49","52","30.7","46.5","84.9","57.8","40","39.1"
"Sri Lanka","LKA",2.1e+07,64630,"39.200000000000003","33.799999999999997","0.77","4.3309454919999997","49.3","176.1","4447","3.5","2.96601516","353","1.932880044","73.849126179013226","14","13.3","95.3","12.5",3,4,"-0.06","-0.15","-0.13","0.06","-0.45","21.4","21.2","27.8","85.9","49.4","20","5.8"
"Sudan","SDN",4.1e+07,1861484,"-","-","0.502","-","26.5","7.9","13988","0.1","6.3128638199999996","277","-","-","7","10","76.400000000000006","28.1",7,7,"-2.0099999999999998","-1.41","-0.56000000000000005","-1.1100000000000001","-1.54","21.4","39.9","39.700000000000003","71.400000000000006","48.1","30","30.5"
"Suriname","SUR",6e+05,156000,"-","25.4","0.72","-","52.7","498.1","49836","4.0999999999999996","6.5483191500000002","1017","-","-","-","7.1","23.2","50.6",2,2,"0.14000000000000001","-0.62","-0.54","-0.15","-0.17","88.2","92.9","92.6","43.9","76.3","80","25.5"
"Sweden","SWE",1e+07,410335,"24.9","28","0.93300000000000005","7.286804676","81.900000000000006","496","59561","0.9","11.01207026","5299","7.6812500950000002","4545.7813154066007","18","4.5999999999999996","65.400000000000006","34",1,1,"0.98","1.84","1.8","1.94","2.14","82.1","82.8","84.2","70.5","81.7","90","43.6"
"Switzerland","CHE",8e+06,39997,"29.5","34.299999999999997","0.94399999999999995","7.4735932350000001","83.8","21","-","-4.8","12.057016920000001","7583","5.0512299540000001","4374.6488736635092","16","14.3","-","-",1,1,"1.21","2.06","1.88","1.93","1.99","22.1","23.1","36.700000000000003","-","-","-","32.5"
"Syria","SYR",1.8e+07,183630,"-","19.100000000000001","0.53600000000000003","-","-","1132.0999999999999","48095","0.7","-","-","-","-","9","4","90.4","17.8",7,7,"-2.63","-1.79","-1.83","-2.09","-1.56","69.2","70.900000000000006","84.3","76.099999999999994","76.599999999999994","60","13.2"
