What is your current class standing?,Are you interested in applying to the Informatics major?,What operating system do you typically use?,Using the command-line / terminal,Using git for version control,Creating documents with Markdown,Using the R programming language,"How would you describe your coding/programmingexperience?",How many countries have you visited in your life?,Were you born in Washington state?,How many siblings do you have?,How many inches tall are you?,Do you consider yourself:,Are you a Seahawks fan?
Freshman,Already in the major,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,Yes,2,70,A dog person...,No
Sophomore,Yes,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,No,6,67,A cat person....,No
Senior,Already in the major,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,5,No,1,64,A dog person...,Yes
Sophomore,Yes,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,Yes,3,68,A dog person...,YES!
Sophomore,Already in the major,Mac,Have used it a few times,Have used it a few times,Have used it a few times,Intermediate user,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",7,Yes,1,68,A cat person....,Yes
Sophomore,No,Windows,Never used it,Never used it,Never used it,Never used it,Never written code,7,Yes,2,66,Both!,No
Sophomore,No,Windows,Have used it a few times,Never used it,Never used it,Never used it,Never written code,4,No,1,71,A dog person...,YES!
Junior,Yes,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,2,No,2,70,Both!,YES!
Junior,No,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,2,No,1,65,Both!,No
Sophomore,Yes,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",7,No,0,6,Neither,No
Junior,No,Linux,Expert user,Intermediate user,Intermediate user,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",17,No,0,66.5,A dog person...,No
Freshman,No,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",3,No,2,65,A dog person...,YES!
Sophomore,Already in the major,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",12,No,0,65,A dog person...,No
Senior,No,Mac,Have used it a few times,Have used it a few times,Never used it,Have used it a few times,Experimented a bit with simple programming,3,No,1,72,A dog person...,YES!
Sophomore,Yes,Windows,Have used it a few times,Have used it a few times,Have used it a few times,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",5,No,1,66,A dog person...,YES!
Sophomore,Yes,Windows,Have used it a few times,Have used it a few times,Have used it a few times,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",6,Yes,3,66,Neither,No
Freshman,Yes,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,No,1,69,A dog person...,YES!
Freshman,Yes,Mac,Never used it,Have used it a few times,Never used it,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",8,No,2,62,A cat person....,No
Freshman,Maybe,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,No,3,64,A dog person...,No
Freshman,Yes,Windows,Have used it a few times,Have used it a few times,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",5,Yes,1,66.5,A cat person....,Yes
Freshman,Yes,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,3,No,2,63,A dog person...,Yes
Freshman,Yes,Mac,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,No,1,69,Neither,No
Freshman,Maybe,Windows,Never used it,Never used it,Never used it,Never used it,Never written code,4,No,2,75,A dog person...,Yes
Sophomore,Yes,Windows,Intermediate user,Intermediate user,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",8,No,1,65,Both!,Yes
Freshman,Yes,Windows,Never used it,Have used it a few times,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",4,Yes,0,70,A dog person...,Yes
Freshman,Maybe,Mac,Never used it,Never used it,Never used it,Never used it,Experimented a bit with simple programming,7,No,0,66,Both!,Yes
Junior,Yes,Windows,Have used it a few times,Never used it,Never used it,Have used it a few times,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",1,Yes,2,68,A dog person...,YES!
Junior,Yes,Windows,Intermediate user,Never used it,Never used it,Never used it,Experimented a bit with simple programming,3,No,2,71,A dog person...,YES!
Freshman,Yes,Windows,Never used it,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",9,Yes,0,62,A dog person...,Yes
Sophomore,Yes,Mac,Intermediate user,Never used it,Never used it,Never used it,"Moderate experience with a scripting language (Python, R, JavaScript, Java, etc.)",8,No,1,70,A cat person....,Yes
